connector_id,source_label,notation,pollutant_label,source_uom,observed_property_code,mapping_kind,is_aqi_eligible,is_active,confidence,notes,match_method,detected_units,site_count,file_count,nonempty_value_count,sample_file
1,iso-pentane,,iso-pentane,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (8790),4,4,8790,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,isoprene,,isoprene,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (9122),4,4,9122,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,m+p-xylene,,m+p-xylene,ug/m3,mpc6h4ch32,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (8555),3,3,8555,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,m-xylene,,m-xylene,,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,magnesium in PM10,,magnesium in PM10,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1916),2,2,1916,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,magnesium in PM2.5,,magnesium in PM2.5,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1845),2,2,1845,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,methanol,,methanol,,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,n-butane,,n-butane,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (9347),4,4,9347,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,n-heptane,,n-heptane,ug/m3,c7h16,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (8659),4,4,8659,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,n-hexane,,n-hexane,ug/m3,c6h14,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (9150),4,4,9150,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,n-nonane,,n-nonane,,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,n-octane,,n-octane,ug/m3,c8h18,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (8469),4,4,8469,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,n-pentane,,n-pentane,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (9270),4,4,9270,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,nitrate in PM10,,nitrate in PM10,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1925),2,2,1925,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,nitrate in PM2.5,,nitrate in PM2.5,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1875),2,2,1875,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
